"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Spencer Rattler","231","215.9","-0.07","","NO","QB","34","","3ac9a699-de82-4bb2-96c8-4f1ee1a8685f"
"Tyler Shough","232","215.4","-0.08","","NO","QB","35","Rookie","9d27c511-89bc-4129-a079-334b7b3be97f"
"Ray-Ray McCloud III","233","213","-0.09","211","ATL","WR","88","","4c50a7a3-7ac8-442f-a792-11977cea9322"
"Devaughn Vele","234","215.7","-0.08","186","NO","WR","89","","c52baf98-fb75-4227-9701-7b1b57eea6f7"
"Jalen Nailor","235","215","-0.09","","MIN","WR","90","","99768dcd-9aea-40e2-9abb-e3644b8f69f0"
"Calvin Austin III","236","214.9","-0.1","163","PIT","WR","91","","c5278c01-f7c3-4163-9ed0-9b76a84b06d3"
"Roman Wilson","237","212.9","-0.11","","PIT","WR","92","","840278ec-0ad5-4ba3-923e-2dda905a735f"
"Josh Reynolds","238","214.7","-0.11","255","NYJ","WR","93","","b700e4d6-99b4-48cc-80a5-ca0bf0a54a68"
"Olamide Zaccheaus","239","215.1","-0.11","","CHI","WR","94","","09ae0fa0-b89b-4e5a-a120-aca14903bca2"
"Jack Bech","240","211.1","-0.14","","LV","WR","95","Rookie","3506f452-2e97-46e6-be4b-e79fed5b3491"
"Malik Washington","241","214","-0.22","","MIA","WR","96","","43ea5795-c57d-463f-af6d-23685089f41f"
"Noah Gray","242","215.3","-0.25","174","KC","TE","33","","a18edd62-1cc8-484e-b729-3f9c591887ad"
"Kayshon Boutte","243","215.4","-0.12","","NE","WR","97","","0ddf9b70-527e-4bb6-8018-b1a0b49ba29c"
"Tutu Atwell","244","215.2","-0.12","253","LA","WR","98","","5ac44ad0-e9ce-44d0-9bf7-82950d46bd63"
"Tyler Lockett","245","213.8","-0.14","203","TEN","WR","99","","d8b3c731-9054-4d15-a4ee-e12beb4825fa"
"Trevor Etienne","246","215.8","-0.13","","CAR","RB","79","Rookie","8aa163b7-5f2f-4ed5-a721-79fd60ba544e"
"Isaiah Davis","247","215.9","-0.13","204","NYJ","RB","80","","6740daf6-d0f8-46cd-ae2c-7dc4774b6de0"
"KaVontae Turpin","248","215.1","-0.14","216","DAL","WR","100","","139d7f99-b270-4a99-832b-41bf0deb358f"
"Jalen McMillan","249","186.3","-0.33","79","TB","WR","101","","2b703cdf-19c6-44bc-9061-11994c555ce9"
"Dontayvion Wicks","250","215.6","-0.15","178","GB","WR","102","","5938bf65-bd79-454f-921a-94d0b1a4c3b4"
"Terrance Ferguson","251","215.7","-0.15","","LA","TE","34","Rookie","5d5c4fb2-51dc-40da-9f65-785ee09f784e"
"Elijah Arroyo","252","206.3","-0.21","","SEA","TE","35","Rookie","c9fab627-9cbf-4cfe-b2fa-288604ae1755"
"Noah Fant","253","215.9","-0.16","","CIN","TE","36","","49d00288-8c14-4e07-a415-8954c227c9cc"
"Tyler Higbee","254","215.3","-0.17","","LA","TE","37","","ef67177a-49c1-49d1-a6df-20ae9588b890"
"Pat Freiermuth","255","213.5","-0.19","140","PIT","TE","38","","49d82bda-e7fe-487a-83ab-0f4bd9e431d1"
"Cole Kmet","256","215.4","-0.18","133","CHI","TE","39","","dc435bd0-ebd3-479f-b9bf-529569dff43c"
"Kenny Pickett","257","216","-0.18","","CLE","QB","36","","9a574823-c8b6-440c-b9ce-708c92a9613b"
"Kirk Cousins","258","216","-0.19","143","ATL","QB","37","Trade Candidate","74d0909b-cf5a-416d-9d46-d83b34c9d947"
"Jalen Milroe","259","215.6","-0.19","","SEA","QB","38","Rookie","58c31228-6972-47f8-a167-e7fac175f5bb"
"Noah Brown","260","215.6","-0.2","","WAS","WR","103","","60c195a8-e9c9-4f75-8551-537d3ec25c6d"
"Jalen Tolbert","261","215.8","-0.2","155","DAL","WR","104","","d85fae4b-67cb-4828-93ad-d968f275c6d5"
"Marquez Valdes-Scantling","262","215.9","-0.2","128","SEA","WR","105","","8781a0c7-14b6-4c09-bf75-0a9da0bd9a31"
"Jalen Royals","263","213.2","-0.23","","KC","WR","106","Rookie","a46b6ee1-e38e-48cc-9d43-0917418812fc"
"Brandin Cooks","264","215.9","-0.22","239","NO","WR","107","","e2a9db24-836f-410b-8fbc-92ebf65aa172"
"Allen Lazard","265","216","-0.22","85","NYJ","WR","108","","50224a13-c0a8-4226-8e19-56fc4c0e257b"
"Jahan Dotson","266","215.7","-0.23","268","PHI","WR","109","","c423d62d-5442-42d4-a157-331f61d8c0a8"
"Christian Watson","267","215.5","-0.23","","GB","WR","110","","6212d548-a31d-4690-8de8-b8313672a462"
"Tai Felton","268","215.9","-0.24","","MIN","WR","111","Rookie","edf095fc-4f26-470b-9967-e307126ced5b"
"Nick Westbrook-Ikhine","269","215.8","-0.24","105","MIA","WR","112","","33f93253-33a6-4e0f-8d93-815366d14090"
"Phil Mafah","270","216","-0.25","","DAL","RB","81","Rookie","6a877013-40bd-4cc0-b7f0-412099ff37f5"
"Oronde Gadsden","271","215.7","-0.26","","LAC","TE","40","Rookie","e7bd3b67-74c9-40f4-a747-d67e35c609fb"
"Ben Sinnott","272","215.8","-0.26","","WAS","TE","41","","da6aa094-cee3-40a8-aef1-4a8941967c3f"
"Will Dissly","273","215.9","-0.26","200","LAC","TE","42","","0ea8521f-7fe9-4feb-8383-d4c68de52a02"
"Elijah Mitchell","274","216","-0.27","","KC","RB","82","","ccc75043-457f-471e-9735-d76568cc2bb1"
"Jaleel McLaughlin","275","216","-0.27","252","DEN","RB","83","","3f3d0fff-d453-44b9-acec-0a9610deea75"
"Devin Neal","276","215.9","-0.28","","NO","RB","84","Rookie","afc52d6b-e9cd-412f-8025-9926540ac5c5"
"Chimere Dike","277","216","-0.28","","TEN","WR","113","Rookie","66414585-fa5d-408a-911c-cf897e5bbefc"
"Diontae Johnson","278","215","-0.29","","CLE","WR","114","","4a91b789-1968-4e0c-9ec3-3f4fa98de1f2"
"Amari Cooper","279","215.9","-0.29","125","","WR","115","Free Agent","2c7e2974-109f-48af-aa38-6ca441540779"
